123formbuilder.com;docs
amazonaws.com;cloud
bitbucket.org;code
cloudformz.com;docs
cloudfront.net;cloud
codebeautify.org;code
codepad.org;code
codepen.io;code
cognitodocs.com;docs
core.windows.net;cloud
dotnetfiddle.net;code
ecitydoc.com;docs
emaze.com;docs
firebaseio.com;cloud
formdesk.com;docs
form.jotform.com;docs
formlets.com;docs
docsite.com;docs
docs.office.com;docs
docstack.com;docs
github.com;code
gitlab.com;code
haikudeck.com;docs
hubspot.net;cloud
ideone.com;code
jsbin.com;code
jsfiddle.net;code
paste2.org;code
pastebin.com;code
pastefs.com;code
pastelink.net;code
prezi.com;docs
regex101.com;code
regexlib.com;code
repl.it;code
rextester.com;code
scribd.com;docs
slidebean.com;docs
slides.com;docs
slideshare.net;docs
slidex.tips;docs
snipplr.com;code
sway.office.com;docs
trello.com;other
visme.co;docs
webflow.com;cloud
wufoo.com;cloud
ziladoc.com;docs
zoho.com;cloud
zonebourse.com;docs
bcwt.webex.com;comm
bluejeans.com;comm
chat.whatsapp.com;comm
gotomeet.me;comm
hangouts.google.com/group;comm
join.slack.com/t;comm
join.skype.com/invite;comm
meet.google.com;comm
meet.jit.si;comm
meet.starleaf.com;comm
teams.microsoft.com/l/meetup-join;comm
t.me/joinchat;comm
zoom.us/j;comm
